tree_id,latitude,longitude
74634,40.799314,-73.96722949
295688,40.74578441,-73.9752983
331118,40.75904537,-73.99436177
310936,40.76465001,-73.99381642
311047,40.76139427,-73.99183976
311054,40.76162005,-73.99237349
290080,40.77412016,-73.96310973
298104,40.77078622,-73.96331867
303920,40.84622616,-73.93749638
330930,40.7563967,-73.99425401
331117,40.75901817,-73.99429741
330929,40.75622061,-73.99438123
330947,40.76262591,-73.99314686
332071,40.75918083,-73.99052583
304677,40.78702541,-73.97964374
312461,40.85893929,-73.92944931
316030,40.77849542,-73.95818908
332070,40.75914279,-73.99043553
330700,40.75865541,-73.99095357
315826,40.77854544,-73.96037372
331560,40.76075227,-73.9907792
343760,40.81706831,-73.94014208
331005,40.75810941,-73.99301297
331018,40.75850359,-73.99306696
304678,40.78698148,-73.9795387
313126,40.77887474,-73.94995515
343756,40.81742292,-73.9409846
310546,40.76153303,-73.99002841
316032,40.77865725,-73.95806894
332069,40.7590816,-73.99029029
331564,40.76044017,-73.99100666
343761,40.817034,-73.94006054
299173,40.77085368,-73.96302228
333945,40.75509207,-73.99239253
343754,40.81748902,-73.94114167
333949,40.75534677,-73.99299717
316048,40.76992793,-73.9644403
316047,40.76986336,-73.96448739
301287,40.73494299,-74.00762274
333951,40.75548535,-73.99332617
300847,40.76697723,-73.96212901
300848,40.76701108,-73.96220918
333946,40.75511894,-73.99245631
343764,40.81690724,-73.93975937
302873,40.73158489,-74.0079529
310136,40.75982765,-73.99208417
316031,40.7785743,-73.95813052
304901,40.74837922,-73.97074279
322677,40.75553744,-73.96443577
305011,40.85938169,-73.92794941
316046,40.76979831,-73.96453484
311088,40.75961531,-73.98962328
300846,40.76694152,-73.96204443
333950,40.7554533,-73.99325008
343766,40.8168253,-73.9395647
316049,40.77001914,-73.96437376
333947,40.7551603,-73.9925545
333948,40.75520433,-73.99265901
344040,40.81250018,-73.96201188
343765,40.81686827,-73.93966678
331644,40.76004171,-73.99129737
300932,40.73555461,-74.00757551
343762,40.8169933,-73.93996384
290038,40.77341769,-73.96236729
290036,40.77321658,-73.9625141
315990,40.85013835,-73.93548265
316039,40.77911473,-73.9577357
316040,40.7792108,-73.95766578
344039,40.81243151,-73.96206195
331559,40.76082573,-73.99072566
343759,40.81711241,-73.94031767
295680,40.7475078,-73.97469882
315142,40.72593238,-73.99057757
344043,40.81284254,-73.96176222
331645,40.75993743,-73.99137309
